state,cases,date
NJ,2,2021-01-22
NM,2,2021-01-22
NY,22,2021-01-22
NC,0,2021-01-22
ND,0,2021-01-22
MP,0,2021-01-22
OH,0,2021-01-22
OK,0,2021-01-22
OR,1,2021-01-22
PW,0,2021-01-22
PA,2,2021-01-22
PR,0,2021-01-22
RI,0,2021-01-22
SC,0,2021-01-22
SD,0,2021-01-22
TN,2,2021-01-22
TX,3,2021-01-22
UT,1,2021-01-22
VT,0,2021-01-22
VI,0,2021-01-22
VA,0,2021-01-22
WA,0,2021-01-22
WV,0,2021-01-22
WI,1,2021-01-22
WY,1,2021-01-22
AL,0,2021-01-27
AK,1,2021-01-27
AS,0,2021-01-27
AZ,0,2021-01-27
AR,0,2021-01-27
CA,92,2021-01-27
CO,9,2021-01-27
CT,8,2021-01-27
DE,0,2021-01-27
FL,92,2021-01-27
GA,14,2021-01-27
GU,0,2021-01-27
HI,0,2021-01-27
ID,0,2021-01-27
IL,9,2021-01-27
IN,4,2021-01-27
IA,0,2021-01-27
KS,0,2021-01-27
KY,2,2021-01-27
LA,1,2021-01-27
ME,0,2021-01-27
MH,0,2021-01-27
MD,4,2021-01-27
MA,3,2021-01-27
MI,17,2021-01-27
FM,0,2021-01-27
MN,8,2021-01-27
MS,0,2021-01-27
MO,0,2021-01-27
MT,0,2021-01-27
NE,0,2021-01-27
NV,1,2021-01-27
NH,0,2021-01-27
NJ,2,2021-01-27
NM,2,2021-01-27
NY,22,2021-01-27
NC,1,2021-01-27
ND,0,2021-01-27
MP,0,2021-01-27
OH,0,2021-01-27
OK,0,2021-01-27
OR,1,2021-01-27
PW,0,2021-01-27
PA,5,2021-01-27
PR,0,2021-01-27
RI,0,2021-01-27
SC,0,2021-01-27
SD,0,2021-01-27
TN,2,2021-01-27
TX,7,2021-01-27
UT,1,2021-01-27
VT,0,2021-01-27
VI,0,2021-01-27
VA,1,2021-01-27
WA,3,2021-01-27
WV,0,2021-01-27
WI,1,2021-01-27
WY,2,2021-01-27
AL,6,2021-02-07
AK,1,2021-02-07
AS,0,2021-02-07
AZ,4,2021-02-07
AR,0,2021-02-07
CA,156,2021-02-07
CO,37,2021-02-07
CT,17,2021-02-07
DE,3,2021-02-07
FL,343,2021-02-07
GA,37,2021-02-07
GU,0,2021-02-07
HI,2,2021-02-07
ID,0,2021-02-07
IL,22,2021-02-07
IN,12,2021-02-07
IA,3,2021-02-07
KS,0,2021-02-07
KY,2,2021-02-07
LA,8,2021-02-07
ME,0,2021-02-07
MH,0,2021-02-07
MD,17,2021-02-07
MA,9,2021-02-07
MI,29,2021-02-07
FM,0,2021-02-07
MN,16,2021-02-07
MS,0,2021-02-07
MO,0,2021-02-07
MT,0,2021-02-07
NE,0,2021-02-07
NV,5,2021-02-07
NH,0,2021-02-07
NJ,31,2021-02-07
NM,2,2021-02-07
NY,59,2021-02-07
NC,21,2021-02-07
ND,0,2021-02-07
MP,0,2021-02-07
OH,0,2021-02-07
OK,0,2021-02-07
OR,4,2021-02-07
PW,0,2021-02-07
PA,25,2021-02-07
PR,0,2021-02-07
RI,0,2021-02-07
SC,1,2021-02-07
SD,0,2021-02-07
TN,5,2021-02-07
TX,35,2021-02-07
UT,3,2021-02-07
VT,0,2021-02-07
VI,0,2021-02-07
VA,5,2021-02-07
WA,5,2021-02-07
WV,0,2021-02-07
WI,2,2021-02-07
WY,5,2021-02-07
AL,6,2021-02-09
AK,1,2021-02-09
AS,0,2021-02-09
AZ,4,2021-02-09
AR,0,2021-02-09
CA,156,2021-02-09
CO,37,2021-02-09
CT,17,2021-02-09
DE,3,2021-02-09
FL,343,2021-02-09
GA,37,2021-02-09
GU,0,2021-02-09
HI,2,2021-02-09
ID,0,2021-02-09
IL,22,2021-02-09
IN,12,2021-02-09
IA,3,2021-02-09
KS,0,2021-02-09
KY,2,2021-02-09
LA,8,2021-02-09
ME,0,2021-02-09
MH,0,2021-02-09
MD,17,2021-02-09
MA,9,2021-02-09
MI,29,2021-02-09
FM,0,2021-02-09
MN,16,2021-02-09
MS,0,2021-02-09
MO,0,2021-02-09
MT,0,2021-02-09
NE,0,2021-02-09
NV,5,2021-02-09
NH,0,2021-02-09
NJ,31,2021-02-09
NM,2,2021-02-09
NY,59,2021-02-09
NC,21,2021-02-09
ND,0,2021-02-09
MP,0,2021-02-09
OH,0,2021-02-09
OK,0,2021-02-09
OR,4,2021-02-09
PW,0,2021-02-09
PA,25,2021-02-09
PR,0,2021-02-09
RI,0,2021-02-09
SC,1,2021-02-09
SD,0,2021-02-09
TN,5,2021-02-09
TX,35,2021-02-09
UT,3,2021-02-09
VT,0,2021-02-09
VI,0,2021-02-09
VA,5,2021-02-09
WA,5,2021-02-09
WV,0,2021-02-09
WI,2,2021-02-09
WY,5,2021-02-09
AL,6,2021-02-11
AK,1,2021-02-11
AS,0,2021-02-11
AZ,4,2021-02-11
AR,0,2021-02-11
CA,156,2021-02-11
CO,37,2021-02-11
CT,17,2021-02-11
DE,3,2021-02-11
FL,343,2021-02-11
GA,37,2021-02-11
GU,0,2021-02-11
HI,2,2021-02-11
ID,0,2021-02-11
IL,22,2021-02-11
IN,12,2021-02-11
IA,3,2021-02-11
KS,0,2021-02-11
KY,2,2021-02-11
LA,8,2021-02-11
ME,0,2021-02-11
MH,0,2021-02-11
MD,17,2021-02-11
MA,9,2021-02-11
MI,29,2021-02-11
FM,0,2021-02-11
MN,16,2021-02-11
MS,0,2021-02-11
MO,0,2021-02-11
MT,0,2021-02-11
NE,0,2021-02-11
NV,5,2021-02-11
NH,0,2021-02-11
NJ,31,2021-02-11
NM,2,2021-02-11
NY,59,2021-02-11
NC,21,2021-02-11
ND,0,2021-02-11
MP,0,2021-02-11
OH,0,2021-02-11
OK,0,2021-02-11
OR,4,2021-02-11
PW,0,2021-02-11
PA,25,2021-02-11
PR,0,2021-02-11
RI,0,2021-02-11
SC,1,2021-02-11
SD,0,2021-02-11
TN,5,2021-02-11
TX,35,2021-02-11
UT,3,2021-02-11
VT,0,2021-02-11
VI,0,2021-02-11
VA,5,2021-02-11
WA,5,2021-02-11
WV,0,2021-02-11
WI,2,2021-02-11
WY,5,2021-02-11
MD,47,2021-02-18
AL,22,2021-02-21
AK,1,2021-02-21
AS,0,2021-02-21
AZ,6,2021-02-21
AR,0,2021-02-21
CA,195,2021-02-21
CO,71,2021-02-21
CT,42,2021-02-21
DC,3,2021-02-21
DE,7,2021-02-21
FL,433,2021-02-21
GA,85,2021-02-21
GU,0,2021-02-21
HI,2,2021-02-21
ID,0,2021-02-21
IL,43,2021-02-21
IN,14,2021-02-21
IA,10,2021-02-21
KS,2,2021-02-21
